winery	ZD	1	1	777	613	0.674285714285	NULL	NULL	5	5	0.0002574002574002574
certificate	ZD	1	1	519	344	0.514644351464	NULL	NULL	5	5	0.0003853564547206166
organic wine	ZD	1	1	6	6	0.333333333333	NULL	NULL	5	5	0.03333333333333333
big american producer	ZD	1	1	3	3	0.333333333333	NULL	NULL	5	5	0.06666666666666667
german test	ZD	1	1	3	3	NULL	NULL	NULL	5	5	0.06666666666666667
totally non allergenic food	ZD by Hill's	1	1	1	1	NULL	NULL	NULL	1	1	1
certification exam	ZD in German	1	1	50	48	0.444444444444	NULL	NULL	1	1	0.02
document type	ZD internal transfer	1	1	266	191	0.281481481481	NULL	NULL	1	1	0.0037593984962406013
company	ZD Market Intelligence of San Diego	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
publication	ZD Net	1	1	15724	7119	0.676279069767	-0.944959831469237	-0.999057856035507	3	3	0.000021199016365640635
giant	ZD Net	1	1	2780	1586	0.368828654404	-0.924782575176256	-0.998107093889395	3	3	0.00011990407673860912
technology website	ZD Net	1	1	11	8	0.666666666666	NULL	NULL	3	3	0.030303030303030304
download site	ZD Net Downloads	1	1	34	33	0.666666666666	NULL	NULL	1	1	0.029411764705882353
separate software laboratory	ZD Net Labs	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
news coverage	ZD Net UK's	1	1	1	1	NULL	NULL	NULL	1	1	1
red guard	ZD Red Flag Commune	1	1	1	1	NULL	NULL	NULL	1	1	1
game recorder	ZD soft Game Recorder	1	1	1	1	NULL	NULL	NULL	1	1	1
friends winery	ZD Wines	1	1	3	3	1.000000000000	NULL	NULL	1	1	0.3333333333333333
active solar energy system	ZD's photovoltaic panel	1	1	4	4	NULL	NULL	NULL	1	1	0.25
drug	ZD1839	2	2	47321	7994	0.819392185238	-1.33453894741195	-0.987990797743138	6	4	0.000014088177905510591
novel agent	ZD1839	1	1	184	111	0.633802816901	NULL	NULL	6	4	0.0009057971014492754
indirect angiogenesis inhibitor	ZD1839	2	2	2	1	NULL	NULL	NULL	6	4	0.3333333333333333
quinazoline derivative	ZD1839	1	1	1	1	1.000000000000	NULL	NULL	6	4	0.16666666666666666
tyrosine kinase inhibitor	ZD1839 anderlotinib	1	1	171	52	0.947368421052	NULL	NULL	1	1	0.005847953216374269
drug	ZD6126	2	2	47321	7994	0.819392185238	-1.33453894741195	-0.987990797743138	5	4	0.00001690581348661271
microtubule-destabilizing agent	ZD6126	1	1	4	5	NULL	NULL	NULL	5	4	0.05
tubulin-destabilizing agent	ZD6126	1	1	4	5	NULL	NULL	NULL	5	4	0.05
microtubule depolymerizing agent	ZD6126	1	1	2	2	NULL	NULL	NULL	5	4	0.1
agent	ZD6474	1	1	23491	9614	0.635841836734	-0.978005343948924	-0.986305100725774	7	6	0.0000060813563857282726
compound	ZD6474	1	1	15793	7118	0.651834729846	-0.92318269523691	-0.989178340553131	7	6	0.000009045598863872782
inhibitor	ZD6474	2	2	1704	1317	0.535885167464	NULL	NULL	7	6	0.00033534540576794097
antiangiogenic agent	ZD6474	1	1	41	19	0.733333333333	NULL	NULL	7	6	0.003484320557491289
Multi-TKIs	ZD6474	1	1	2	2	1.000000000000	NULL	NULL	7	6	0.07142857142857142
VEGFR inhibitor	ZD6474	1	1	2	2	1.000000000000	NULL	NULL	7	6	0.07142857142857142
