technique	TL	2	2	81088	45561	0.757099509842	-0.869612902249548	-0.997146653994429	25	16	0.000001973164956590371
method	TL	1	1	63825	38667	0.691920506812	-0.828368442480248	-0.998230989171586	25	16	0.0000006267136701919311
place	TL	1	1	84856	29490	0.794148464576	-1.02712943354616	-0.999165248121714	25	16	0.0000004713868200245121
element	Tl	1	1	58999	24751	0.545494236814	-1.00887685619843	-0.998424829814331	25	16	0.0000006779775928405566
function	TL	1	1	42212	23882	0.629045449234	-0.862057509555214	-0.997117795787901	25	16	0.0000009475978394769261
property	TL	1	1	30845	15896	0.618977796397	-0.958993341286946	-0.998237112803506	25	16	0.00000129680661371373
model	TL	5	5	19313	14128	0.614827813116	-0.684580654964029	-0.996169128863856	25	16	0.00005177859472893906
procedure	TL	1	1	19074	10216	0.641676168757	-0.904089728626885	-0.99803524701454	25	16	0.000002097095522701059
value	TL	1	1	15387	4656	0.541979010494	-1.10905584587617	-0.998155291570794	25	16	0.0000025995970624553194
car	TL	1	1	13806	2847	0.732179226069	-1.03556073807119	-0.998715176799745	25	16	0.000002897291032884253
luxury car	TL	1	1	289	122	0.676923076923	NULL	NULL	25	16	0.0001384083044982699
aggressive procedure	TL	1	1	16	16	0.222222222222	NULL	NULL	25	16	0.0025
acura model	TL	4	2	23	11	0.777777777777	NULL	NULL	25	16	0.027826086956521737
radiation dose method	TL	1	1	2	2	0.500000000000	NULL	NULL	25	16	0.02
entry-luxury model	TL	2	2	2	1	1.000000000000	NULL	NULL	25	16	0.08
expensive, sophisticated car	TL	1	1	1	1	1.000000000000	NULL	NULL	25	16	0.04
founded style	TL & Cl	1	1	1	1	NULL	NULL	NULL	1	1	1
semiconductor	Tl . sub .2 S	1	1	705	232	0.532374100719	NULL	NULL	1	1	0.0014184397163120568
management system	TL 9000	2	2	713	452	0.444444444444	NULL	NULL	6	5	0.0009350163627863487
quality management system	TL 9000	1	1	88	47	0.666666666666	NULL	NULL	6	5	0.001893939393939394
international quality standard	TL 9000	1	1	44	24	0.769230769230	NULL	NULL	6	5	0.003787878787878788
quality system standard	TL 9000	1	1	5	5	0.333333333333	NULL	NULL	6	5	0.03333333333333333
sector document	TL 9000	1	1	4	4	NULL	NULL	NULL	6	5	0.041666666666666664
best software	TL Drum Rehab	1	1	8	7	0.800000000000	NULL	NULL	1	1	0.125
scene	TL dying in the first scene	1	1	1868	1556	0.387826086956	-0.582363631063022	-0.994488885971984	1	1	0.0005353319057815846
area	tl e water Airways International	1	1	178956	74345	0.785197299742	-0.994427958974019	-0.997255723110113	1	1	0.0000055879657569458414
dosimetric property	TL efficiency	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
case	TL for composite panels window	1	1	63094	42096	0.563902825455	-0.740433688780771	-0.999375047344757	1	1	0.00001584936761023235
acronym	TL for target lan guage	1	1	392	300	0.544529262086	NULL	NULL	1	1	0.002551020408163265
mutant	Tl gain-of-function mutant hemocytes	1	1	184	134	0.584269662921	NULL	NULL	1	1	0.005434782608695652
surprise entry	TL Hooper	1	1	5	5	0.500000000000	NULL	NULL	1	1	0.2
cation	Tl III	1	1	789	172	0.414893617021	NULL	NULL	1	1	0.0012674271229404308
characteristic property	TL intensity increases with gamma dose	1	1	114	93	0.367346938775	NULL	NULL	1	1	0.008771929824561403
author	TL James	1	1	21003	12210	0.850060168471	-0.792669804881659	-0.990698563583463	1	1	0.00004761224586963767
fluorescent lamp	TL lamp	1	1	23	21	0.500000000000	NULL	NULL	1	1	0.043478260869565216
acura model	TL luxury performance sedan	1	1	23	11	0.777777777777	NULL	NULL	1	1	0.043478260869565216
accessory	tl performance accessory	1	1	49048	18516	0.718305642867	-1.01867689602357	-0.998203910435349	2	2	0.000010194095579840157
performance accessory	tl performance accessory	1	1	583	581	NULL	NULL	NULL	2	2	0.0008576329331046312
RPG	TL qand Diablo2	1	1	39	29	0.578947368421	NULL	NULL	1	1	0.02564102564102564
dosimetric property	TL radiation sensitivity	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
kingman model	TL series	3	3	9	4	NULL	NULL	NULL	3	1	0.3333333333333333
feature	TL SH-AWD	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	1	1	0.000005283150448275316
package	TL SH-AWD Additional Features	1	1	3871	3031	0.454222222222	-0.658340027869562	-0.99458387829838	1	1	0.0002583311805734952
feature	TL SH-AWD Technology	2	2	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	2	1	0.000010566300896550631
purchase	TL Space	1	1	1875	823	0.333806818181	-0.954575109873077	-0.998189598498744	5	5	0.00010666666666666667
Avid plugins	TL Space	1	1	2	2	1.000000000000	NULL	NULL	5	5	0.1
frequent convolution reverbs	TL Space	1	1	2	2	NULL	NULL	NULL	5	5	0.1
impulse response reverb	TL Space	1	1	2	2	NULL	NULL	NULL	5	5	0.1
Newfangled impulse-response reverbs	TL Space	1	1	2	2	NULL	NULL	NULL	5	5	0.1
aircraft	TL Sting	1	1	2866	1567	0.753303964757	-0.852058635286528	-0.976498697176134	1	1	0.0003489183531053733
aircraft	TL Sting S3	1	1	2866	1567	0.753303964757	-0.852058635286528	-0.976498697176134	1	1	0.0003489183531053733
author	TL Taylor	1	1	21003	12210	0.850060168471	-0.792669804881659	-0.990698563583463	1	1	0.00004761224586963767
