feature	CW	1	1	189281	97817	0.772716752302	-0.891365724717197	-0.998425487959618	76	36	0.00000006951513747730679
service	CW	1	1	178558	68647	0.805026078710	-1.04263935379101	-0.997164572549854	76	36	0.00000007368975199566586
program	CW	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	76	36	0.00000014192683274376928
application	CW	2	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	76	36	0.0000005920046223720915
channel	CW	3	3	6080	2994	0.512928022361	-0.971910444306326	-0.996412996167359	76	36	0.00001947714681440443
network	CW	27	24	5750	2274	0.578163771712	-0.996888216652181	-0.99905223812064	76	36	0.0016681922196796338
mode	CW	3	3	3730	2235	0.440476190476	-0.782468985857862	-0.99241603547461	76	36	0.000031748271482997034
signal	CW	2	2	3064	1964	0.430471584038	-0.745225575169458	-0.997156178295879	76	36	0.000017177408272639825
supplementary service	CW	2	2	278	207	0.398305084745	NULL	NULL	76	36	0.00018932222642938283
television network	CW	1	1	362	144	0.576923076923	NULL	NULL	76	36	0.00003634777551613841
TV network	CW	2	2	214	96	0.444444444444	NULL	NULL	76	36	0.00024594195769798326
treatment system	CW	1	1	104	86	0.477272727272	NULL	NULL	76	36	0.00012651821862348178
broadcast network	CW	1	1	174	49	0.322580645161	NULL	NULL	76	36	0.00007562008469449485
digital mode	CW	2	1	77	33	0.857142857142	NULL	NULL	76	36	0.000683526999316473
traditional mode	CW	3	3	36	22	0.428571428571	NULL	NULL	76	36	0.003289473684210526
commercial network	CW	2	2	35	21	0.444444444444	NULL	NULL	76	36	0.0015037593984962405
network channel	CW	1	1	21	13	NULL	NULL	NULL	76	36	0.0006265664160401002
popular TV channel	CW	1	1	31	8	0.125000000000	NULL	NULL	76	36	0.00042444821731748726
high speed signal	CW	1	1	8	5	0.333333333333	NULL	NULL	76	36	0.001644736842105263
local broadcast network	CW	1	1	5	5	NULL	NULL	NULL	76	36	0.002631578947368421
broadcast competitor	CW	3	3	11	4	0.600000000000	NULL	NULL	76	36	0.010765550239234449
low power mode	CW	1	1	4	4	0.333333333333	NULL	NULL	76	36	0.003289473684210526
analog transmission system	CW	1	1	3	3	0.666666666666	NULL	NULL	76	36	0.0043859649122807015
high duty cycle mode	CW	1	1	3	3	0.333333333333	NULL	NULL	76	36	0.0043859649122807015
narrow-band mode	CW	1	1	3	3	0.500000000000	NULL	NULL	76	36	0.0043859649122807015
non-am mode	CW	1	1	3	3	0.333333333333	NULL	NULL	76	36	0.0043859649122807015
constant carrier mode	CW	1	1	2	2	NULL	NULL	NULL	76	36	0.006578947368421052
constant-frequency signal	CW	1	1	2	2	NULL	NULL	NULL	76	36	0.006578947368421052
high precision mode	CW	1	1	2	2	NULL	NULL	NULL	76	36	0.006578947368421052
low duty-cycle mode	CW	1	1	2	2	0.500000000000	NULL	NULL	76	36	0.006578947368421052
narrow band signal	CW	1	1	2	2	0.333333333333	NULL	NULL	76	36	0.006578947368421052
emission mode	CW	1	1	1	1	NULL	NULL	NULL	76	36	0.013157894736842105
low bandwidth mode	CW	1	1	1	1	NULL	NULL	NULL	76	36	0.013157894736842105
narrow mode	CW	1	1	1	1	NULL	NULL	NULL	76	36	0.013157894736842105
net HD signal	CW	1	1	1	1	NULL	NULL	NULL	76	36	0.013157894736842105
unmodulated mode	CW	1	1	1	1	NULL	NULL	NULL	76	36	0.013157894736842105
cultivars	CW 990L	1	1	768	585	0.561538461538	NULL	NULL	1	1	0.0013020833333333333
analytes	CW agent	1	1	564	273	0.241379310344	NULL	NULL	1	1	0.0017730496453900709
performer	CW Anderson	1	1	5673	3550	0.770087976539	-0.776567688318523	-0.988974854518243	1	1	0.00017627357659086903
artist	CW Buchanan	1	1	88455	33083	0.883898709985	-1.00796455746463	-0.992595568102726	1	1	0.000011305183426601097
IABC international publication	CW Bulletin	1	1	2	2	NULL	NULL	NULL	1	1	0.5
firm	CW Capital	2	2	16565	8896	0.659253157605	-0.889736497239867	-0.998297919587519	4	3	0.00006036824630244491
servicers firm	CW Capital	1	1	2	2	NULL	NULL	NULL	4	3	0.125
recognizable lender name	CW Capital	1	1	1	1	NULL	NULL	NULL	4	3	0.25
spectroscopic instrument	cw cavity ring down spectrometer based on lead salt diode laser	1	1	1	1	NULL	NULL	NULL	1	1	1
channel	CW channel	1	1	6080	2994	0.512928022361	-0.971910444306326	-0.996412996167359	1	1	0.0001644736842105263
laser system	CW CO2	2	1	54	45	0.562500000000	NULL	NULL	3	2	0.024691358024691357
CW laser	CW CO2	1	1	1	1	NULL	NULL	NULL	3	2	0.3333333333333333
program	CW comedy drama	1	1	92709	51339	0.738216045297	-0.891619209955955	-0.998819408646804	1	1	0.000010786439288526465
locally contractible space	CW complex	1	1	1	1	NULL	NULL	NULL	2	2	0.5
well-behaved space	CW complex	1	1	1	1	NULL	NULL	NULL	2	2	0.5
visible laser diode product	CW component	1	1	2	2	NULL	NULL	NULL	1	1	0.5
thereare contest	CW Contest	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
CW decoding software	CW DecoderXP	1	1	1	1	NULL	NULL	NULL	1	1	1
mode	CW Doppler	1	1	3730	2235	0.440476190476	-0.782468985857862	-0.99241603547461	1	1	0.00026809651474530834
prominent construction company	CW Driver	1	1	3	3	NULL	NULL	NULL	1	1	0.3333333333333333
high caliber financial service firm	CW Financial Services	3	3	3	1	NULL	NULL	NULL	3	1	1
private gym	CW Fit	1	1	3	3	0.500000000000	NULL	NULL	1	1	0.3333333333333333
company	CW Framers	1	1	179680	60371	0.842936304593	-1.03357952017315	-0.998973440336579	1	1	0.000005565449688334818
event	CW game	1	1	123961	51792	0.737717908082	-0.949868238636836	-0.999824671649749	1	1	0.000008067053347423786
device	CW gas dynamic CO.sub.2 laser	1	1	56803	23195	0.728061477441	-0.978457371396317	-0.999437863336719	1	1	0.00001760470397690263
controller parameter	CW ID	1	1	25	23	0.416666666666	NULL	NULL	1	1	0.04
impairment	CW interference	1	1	640	371	0.397003745318	NULL	NULL	1	1	0.0015625
variable	CW j	1	1	51197	24145	0.691065221836	-0.863347482850882	-0.999764569547905	1	1	0.000019532394476238843
online recruitment site	CW job	1	1	7	6	NULL	NULL	NULL	1	1	0.14285714285714285
client	CW Jobs	1	1	24266	12390	0.703601108033	-0.888186390691008	-0.997307651074921	1	1	0.00004120992334954257
personal item	CW key	1	1	9494	1615	0.469916222391	-1.28656477666888	-0.99152972523341	1	1	0.00010532968190436065
standard feature	CW keyer	1	1	3282	2152	0.570846075433	-0.704744666148576	-0.997486517291711	1	1	0.0003046922608165753
light source	CW lamp	1	1	2368	903	0.656069364161	NULL	NULL	1	1	0.0004222972972972973
application	CW laser	1	1	88904	44910	0.708649774850	-0.873470845756725	-0.998686548549649	2	2	0.000005624043912534869
laser light beam	CW laser	1	1	2	2	1.000000000000	NULL	NULL	2	2	0.25
